Tech,Scenario,Build Year,Capex (£/kWe),Efficiency,Capex (£/kW H2 HHV),Fixed Opex % of capex,Fixed Opex,Variable Opex,Plant Lifetime
PEM,Central,2025,2157.772555,0.736185054,2931.019237,0.03,87.9305771,0.003345912,25
PEM,Central,2030,1632.720002,0.758515602,2152.519997,0.033962245,73.18567989,0.002702936,25
PEM,Central,2035,1322.558288,0.771394344,1714.50348,0.03712238,63.60807912,0.002348635,25
PEM,Central,2040,1139.525653,0.807917917,1410.447311,0.037902585,53.45595307,0.00209313,25
PEM,Central,2045,1026.075264,0.818396757,1253.762622,0.038716376,48.52061348,0.00200373,25
PEM,Central,2050,971.924223,0.829253923,1172.046578,0.039140477,45.82702121,0.001940031,25
PEM,Low,2025,2157.772555,0.736185054,2931.019237,0.03,87.9305771,0.003345912,25
PEM,Low,2030,1471.350003,0.758515602,1939.775529,0.033962245,65.95236798,0.002435791,25
PEM,Low,2035,1102.913358,0.771394344,1429.765938,0.03712238,53.0443163,0.001958583,25
PEM,Low,2040,878.5692063,0.807917917,1087.448599,0.037902585,41.21430189,0.001613794,25
PEM,Low,2045,731.7882033,0.818396757,894.1729018,0.038716376,34.6044913,0.001429043,25
PEM,Low,2050,614.3895172,0.829253923,740.8943149,0.039140477,28.96896771,0.001226366,25
PEM,High,2025,2157.772555,0.736185054,2931.019237,0.03,87.9305771,0.003345912,25
PEM,High,2030,1797.042467,0.758515602,2369.156892,0.033962245,80.46188682,0.002974969,25
PEM,High,2035,1609.260134,0.771394344,2086.170512,0.03712238,77.4436145,0.002857768,25
PEM,High,2040,1515.906075,0.807917917,1876.311991,0.037902585,71.11707473,0.002784481,25
PEM,High,2045,1448.345623,0.818396757,1769.73529,0.038716376,68.51773692,0.002828344,25
PEM,High,2050,1431.308567,0.829253923,1726.019651,0.039140477,67.55723246,0.002856996,25
Alkaline,Central,2025,1785.716195,0.746737936,2391.355933,0.03,71.74067798,0.002729858,25
Alkaline,Central,2030,1492.782827,0.764511046,1952.598115,0.033962245,66.38833591,0.002451893,25
Alkaline,Central,2035,1277.151105,0.774461067,1649.083678,0.03712238,61.18100444,0.002259019,25
Alkaline,Central,2040,1130.588806,0.807917917,1399.385732,0.037902585,53.03671926,0.002076714,25
Alkaline,Central,2045,1048.078647,0.818396757,1280.648582,0.038716376,49.56110012,0.002046699,25
Alkaline,Central,2050,1017.546723,0.829253923,1227.062899,0.039140477,47.97815936,0.002031097,25
Alkaline,Low,2025,1785.716195,0.746737936,2391.355933,0.03,71.74067798,0.002729858,25
Alkaline,Low,2030,1333.730216,0.764511046,1744.553232,0.033962245,59.31480989,0.002190649,25
Alkaline,Low,2035,1022.947361,0.774461067,1320.850595,0.03712238,49.00355708,0.001809384,25
Alkaline,Low,2040,867.5435266,0.807917917,1073.801569,0.037902585,40.69707946,0.001593541,25
Alkaline,Low,2045,747.8198534,0.818396757,913.7619948,0.038716376,35.3625892,0.00146035,25
Alkaline,Low,2050,678.6216413,0.829253923,818.352042,0.039140477,31.99756484,0.001354578,25
Alkaline,High,2025,1785.716195,0.746737936,2391.355933,0.03,71.74067798,0.002729858,25
Alkaline,High,2030,1615.557545,0.764511046,2113.190587,0.033962245,71.76869645,0.00265355,25
Alkaline,High,2035,1467.381597,0.774461067,1894.713188,0.03712238,70.33626295,0.002595498,25
Alkaline,High,2040,1323.25056,0.807917917,1637.852723,0.037902585,62.07885204,0.002430603,25
Alkaline,High,2045,1239.302249,0.818396757,1514.304936,0.038716376,58.62839928,0.002420122,25
Alkaline,High,2050,1187.136757,0.829253923,1431.572072,0.039140477,56.03241375,0.002369611,25
