Tech,Build Year,Discount Factor,Units,LCOH,LCOH Capex,LCOH Fixed Opex,LCOH Variable Opex,LCOH Electricity Cost,LCOH Fuel Cost,LCOH CO2 T&S Cost,LCOH Emissions Cost
ATR + CCS,2025,0.06,£/MWh H2 HHV,80.08283,15.83125,7.13842,1.13025,6.11536,33.26287,15.30571,1.29898
ATR + CCS,2025,0.07,£/MWh H2 HHV,82.16249,17.82613,7.13842,1.13025,6.13780,33.33704,15.30571,1.28715
ATR + CCS,2025,0.08,£/MWh H2 HHV,84.29375,19.87454,7.13842,1.13025,6.15866,33.41010,15.30571,1.27606
ATR + CCS,2025,0.09,£/MWh H2 HHV,86.46107,21.96162,7.13842,1.13025,6.17786,33.48142,15.30571,1.26579
ATR + CCS,2025,0.1,£/MWh H2 HHV,88.65103,24.07444,7.13842,1.13025,6.19536,33.55048,15.30571,1.25637
ATR + CCS,2025,0.11,£/MWh H2 HHV,90.85227,26.20199,7.13842,1.13025,6.21117,33.61691,15.30571,1.24782
ATR + CCS,2025,0.12,£/MWh H2 HHV,93.05532,28.33506,7.13842,1.13025,6.22533,33.68043,15.30571,1.24012
ATR + CCS,2025,0.13,£/MWh H2 HHV,95.25242,30.46600,7.13842,1.13025,6.23792,33.74087,15.30571,1.23326
ATR + CCS,2025,0.14,£/MWh H2 HHV,97.43723,32.58853,7.13842,1.13025,6.24900,33.79812,15.30571,1.22720
ATR + CCS,2025,0.15,£/MWh H2 HHV,99.60459,34.69751,7.13842,1.13025,6.25867,33.85213,15.30571,1.22190
ATR + CCS,2030,0.06,£/MWh H2 HHV,77.69004,14.25942,6.42968,1.01803,6.11536,33.26287,15.30571,1.29898
ATR + CCS,2030,0.07,£/MWh H2 HHV,79.57164,16.05624,6.42968,1.01803,6.13780,33.33704,15.30571,1.28715
ATR + CCS,2030,0.08,£/MWh H2 HHV,81.49952,17.90128,6.42968,1.01803,6.15866,33.41010,15.30571,1.27606
ATR + CCS,2030,0.09,£/MWh H2 HHV,83.45963,19.78114,6.42968,1.01803,6.17786,33.48142,15.30571,1.26579
ATR + CCS,2030,0.1,£/MWh H2 HHV,85.43981,21.68418,6.42968,1.01803,6.19536,33.55048,15.30571,1.25637
